wavelength,"(17, 62)","(21, 59)","(26, 56)","(29, 53)","(31, 49)","(34, 45)","(38, 42)","(41, 38)","(44, 35)","(47, 31)","(49, 26)","(53, 23)","(58, 18)","(62, 12)","(66, 8)","(22, 67)","(26, 64)","(31, 60)","(35, 57)","(36, 53)","(40, 50)","(43, 47)","(46, 43)","(49, 40)","(54, 36)","(57, 31)","(61, 28)","(65, 23)","(68, 17)","(73, 13)","(30, 73)","(33, 69)","(37, 65)","(40, 62)","(43, 59)","(46, 55)","(49, 50)","(52, 47)","(57, 45)","(59, 40)","(63, 36)","(66, 32)","(70, 28)","(73, 22)","(78, 18)","(34, 77)","(39, 74)","(42, 69)","(45, 66)","(49, 63)","(52, 59)","(55, 56)","(58, 53)","(61, 48)","(66, 45)","(68, 40)","(71, 35)","(75, 32)","(79, 26)","(84, 22)","(39, 81)","(43, 77)","(46, 73)","(49, 70)","(53, 67)","(56, 62)","(60, 59)","(63, 56)","(66, 52)","(71, 48)","(73, 44)","(77, 40)","(81, 34)","(84, 29)","(87, 24)","(68, 79)","(68, 79)","(68, 79)","(68, 79)","(68, 79)","(68, 79)"
420.188,0.0880521,0.0273601,0.0472262,0.0833798,0.0631097,0.054187,0.0848787,0.0796268,0.0678887,0.0864038,0.0724387,0.0659354,0.0783567,0.0720636,0.0640882,0.0741343,0.0236966,0.0825264,0.0623114,0.0423049,0.0766703,0.0846961,0.0367382,0.0971647,0.0276554,0.0804611,0.0914424,0.086499,0.0760533,0.0252506,0.075893,0.0461481,0.0191437,0.0646407,0.0926326,0.0399316,0.0827179,0.0771171,0.0659096,0.030629,0.0895174,0.041626,0.0984357,0.0935003,0.0425355,0.0823275,0.0349113,0.0757519,0.0856051,0.0794947,0.105829,0.0287385,0.0910581,0.0757905,0.062828,0.050694,0.0941012,0.0883956,0.0528811,0.0230827,0.0932318,0.0501873,0.0609114,0.0483581,0.108229,0.0848524,0.095949,0.162109,0.144254,0.141343,0.162281,0.156654,0.128199,0.143007,0.132562,0,0,0,0,0,0
422.423,0.0885145,0.026319,0.0394483,0.0922636,0.0736182,0.0356551,0.0837367,0.0660769,0.0751457,0.0927159,0.0678932,0.0632611,0.0764736,0.064889,0.0548394,0.0756377,0.0312768,0.0629622,0.0639853,0.0497728,0.0772672,0.0779099,0.0261624,0.0926998,0.0333673,0.073961,0.0983895,0.0947443,0.0890095,0.0264637,0.0831029,0.0532522,0.0445173,0.061998,0.0995868,0.0411873,0.0932264,0.077451,0.0879322,0.0468971,0.114601,0.0469651,0.104753,0.103796,0.0570216,0.0856734,0.0280839,0.0862471,0.073151,0.0817353,0.108488,0.0349981,0.0782812,0.0621039,0.0732746,0.056877,0.0916704,0.0769871,0.0509867,0.0141874,0.0913394,0.0740598,0.0377679,0.0500239,0.110133,0.0931412,0.105115,0.157813,0.160609,0.160605,0.149462,0.157402,0.143332,0.137785,0.128936,0,0,0,0,0,0
424.657,0.0904899,0.0330006,0.0365501,0.074929,0.0593949,0.0352825,0.0901198,0.0830593,0.0625594,0.0939189,0.0674302,0.0650257,0.0838842,0.0751966,0.0452965,0.0682214,0.0329808,0.0670529,0.0688918,0.0315986,0.081547,0.0698658,0.0430776,0.107448,0.0332616,0.0905584,0.100877,0.089372,0.0948053,0.0266093,0.082537,0.0470736,0.039081,0.0623466,0.0930483,0.0484867,0.0910242,0.063534,0.0848557,0.0422581,0.0973122,0.0383565,0.0983163,0.123376,0.0450459,0.0743897,0.0269635,0.0761483,0.0901177,0.0836522,0.125333,0.0342842,0.0907114,0.0674005,0.0669509,0.0555416,0.0816637,0.0919252,0.0425366,0.0274279,0.0860142,0.0531375,0.0555845,0.0508997,0.111681,0.101715,0.112686,0.15302,0.151119,0.17768,0.146381,0.152639,0.152521,0.14083,0.140656,0,0,0,0,0,0
426.891,0.0780179,0.0379445,0.0403027,0.0810031,0.0570723,0.0482577,0.0868927,0.0724154,0.0746536,0.0892955,0.0588638,0.0717278,0.0839311,0.0781163,0.0611158,0.0633625,0.0335958,0.0646157,0.0678072,0.0344319,0.09311,0.0708326,0.0317219,0.102929,0.0283503,0.0764801,0.105474,0.0903701,0.0896992,0.0253127,0.0947075,0.0521278,0.0364895,0.0617532,0.0922808,0.0479369,0.0837137,0.0734087,0.0927384,0.0544173,0.110403,0.0364288,0.0930328,0.106675,0.040059,0.0846096,0.0404573,0.0749435,0.0836769,0.0803231,0.118799,0.0313521,0.0788569,0.0661157,0.0755659,0.0666393,0.0840956,0.0940031,0.0376599,0.0244285,0.085904,0.0638242,0.0516904,0.063719,0.108068,0.088649,0.115562,0.162886,0.162734,0.142697,0.158908,0.149165,0.16138,0.148485,0.140462,0,0,0,0,0,0
429.126,0.094012,0.0351472,0.0484513,0.0835929,0.0769706,0.0411016,0.0923686,0.0844758,0.0707294,0.0870045,0.0703162,0.0766948,0.0896146,0.0753639,0.0607221,0.0737095,0.033521,0.086748,0.0698385,0.0433599,0.084129,0.0720432,0.0350408,0.0975189,0.0257908,0.0759898,0.107666,0.102092,0.0869171,0.030949,0.0767983,0.0474052,0.0415307,0.0547239,0.104739,0.0494286,0.0847417,0.0642446,0.0956383,0.0379928,0.100106,0.0488176,0.0971244,0.101049,0.0505425,0.0810556,0.0378083,0.0786889,0.0803744,0.0909395,0.113844,0.0287135,0.0852249,0.0746467,0.0676693,0.0572515,0.0924133,0.0932553,0.0399367,0.0218932,0.0847147,0.0652908,0.0460389,0.0557833,0.113386,0.0871229,0.118102,0.160206,0.145758,0.153715,0.153372,0.160778,0.146013,0.130534,0.13365,0,0,0,0,0,0
431.36,0.0988033,0.042717,0.0505172,0.097128,0.0668043,0.0490585,0.0988306,0.0811276,0.0589126,0.0974342,0.0847038,0.0711535,0.083683,0.0762293,0.0675274,0.0730185,0.0343864,0.0742947,0.0673753,0.0364656,0.0880356,0.0910834,0.0346482,0.11197,0.0388127,0.0904387,0.0938168,0.0948366,0.0893779,0.0303224,0.0863927,0.0598116,0.0606183,0.0713383,0.106411,0.039729,0.0937306,0.0811517,0.0900659,0.0422333,0.0947542,0.0410865,0.100954,0.108985,0.0596265,0.100487,0.0307799,0.0977946,0.086946,0.0803055,0.125386,0.0285792,0.076676,0.0615787,0.0762176,0.057704,0.0820639,0.0831921,0.0418281,0.0235862,0.10196,0.0832481,0.0592446,0.0593545,0.118172,0.0875508,0.101074,0.147177,0.149207,0.148339,0.166661,0.165245,0.13958,0.147066,0.130577,0,0,0,0,0,0
433.595,0.09489,0.0378525,0.0383068,0.0887889,0.0733741,0.0440606,0.0875206,0.0757954,0.0772787,0.101875,0.0700634,0.0697356,0.0917236,0.0821385,0.059775,0.0777175,0.0331255,0.0738229,0.0806279,0.0435869,0.0896392,0.0907942,0.0398349,0.105052,0.0348307,0.0890778,0.0935118,0.0950006,0.0834374,0.0300265,0.0851673,0.0575359,0.0330432,0.0688279,0.0911704,0.042485,0.0931039,0.0744459,0.101314,0.0555115,0.107552,0.044916,0.0999521,0.111511,0.0555317,0.0905794,0.0557379,0.0870416,0.0945071,0.0820899,0.116855,0.0439464,0.0865102,0.065417,0.0732202,0.0593343,0.0897921,0.0867144,0.0555537,0.0234939,0.080619,0.0705472,0.0678454,0.0576896,0.122362,0.0923571,0.106048,0.149588,0.149088,0.164129,0.165841,0.159035,0.153969,0.148951,0.14273,0,0,0,0,0,0
435.829,0.0804171,0.037531,0.0413959,0.08153,0.0690822,0.0390383,0.0999098,0.0756587,0.073076,0.0968522,0.0636569,0.0699911,0.0834441,0.0778232,0.0639161,0.0911125,0.0523478,0.0788203,0.0716717,0.0453805,0.0854711,0.092988,0.0538144,0.0994256,0.0432802,0.0884809,0.093895,0.0966972,0.0814589,0.0342216,0.0976219,0.0588241,0.0501958,0.0659048,0.0945276,0.0620823,0.0942058,0.0821683,0.102037,0.0546434,0.106597,0.050514,0.0876359,0.10172,0.0608575,0.09213,0.0513599,0.0913226,0.0770338,0.0893494,0.123663,0.0264541,0.10978,0.0762548,0.07624,0.0679227,0.0995248,0.100226,0.0598259,0.0328757,0.0897784,0.0761585,0.0684627,0.0525126,0.120396,0.0922468,0.120601,0.16684,0.146976,0.15477,0.168398,0.168286,0.143462,0.140069,0.144869,0,0,0,0,0,0
438.064,0.0918688,0.0461784,0.0492003,0.0935128,0.077182,0.0384832,0.0882102,0.0793909,0.0767542,0.0981213,0.0688735,0.0672402,0.0842402,0.0792258,0.0784145,0.0765604,0.0414516,0.0815917,0.0729832,0.0460764,0.0947807,0.0882093,0.0534196,0.111005,0.0424452,0.0951624,0.103879,0.105309,0.0797476,0.0320697,0.0885243,0.0546263,0.0363684,0.0726063,0.0896701,0.0555008,0.0873963,0.0780841,0.0990313,0.061154,0.107422,0.0367638,0.103006,0.102032,0.0659655,0.0972922,0.0416014,0.0831548,0.0850412,0.0951807,0.133643,0.0323871,0.0910657,0.0690484,0.0725283,0.0668172,0.0985779,0.0918159,0.0604092,0.0275896,0.0852744,0.0716593,0.063897,0.0692344,0.11486,0.100931,0.125532,0.18378,0.166941,0.158119,0.160605,0.159458,0.148058,0.145967,0.154351,0,0,0,0,0,0
440.298,0.0885483,0.0514415,0.046329,0.0979417,0.0771219,0.0492769,0.0977611,0.0741705,0.0710904,0.0915314,0.0843325,0.0608852,0.0833349,0.0777266,0.0691978,0.0882409,0.039362,0.0751231,0.0707916,0.0483806,0.0912328,0.0925661,0.0430835,0.107198,0.0315626,0.0954988,0.107803,0.100598,0.0932683,0.0359463,0.086765,0.055949,0.0472017,0.0674208,0.0949605,0.0624474,0.0932088,0.0784933,0.102488,0.0570131,0.0979221,0.0450325,0.109361,0.106737,0.0567512,0.0869089,0.0482606,0.0878222,0.0872856,0.0877492,0.137409,0.0416532,0.0975428,0.0720606,0.0782577,0.0596673,0.085998,0.092828,0.0541844,0.02675,0.0894778,0.0702217,0.0630095,0.0615067,0.12787,0.0995069,0.123679,0.157771,0.165805,0.162832,0.161539,0.152949,0.143204,0.15027,0.140502,0,0,0,0,0,0
